cluster,size,mean_intra_cosine_pairs,mean_to_centroid,nearest_other_centroid,centroid_margin
9954,2,0.9553927779197693,0.9887853264808655,0.9851685166358948,0.003616809844970703
6711,2,0.975629985332489,0.9938890337944031,0.9881610870361328,0.005727946758270264
6712,2,0.9643110036849976,0.9910377264022827,0.9857137203216553,0.005324006080627441
11524,2,0.9755367040634155,0.993865430355072,0.9929237365722656,0.0009416937828063965
11563,2,0.9844597578048706,0.9961074590682983,0.9916232824325562,0.0044841766357421875
6797,2,0.9726346731185913,0.9931351542472839,0.985627293586731,0.0075078606605529785
11638,2,0.9649963974952698,0.9912105798721313,0.9821032881736755,0.00910729169845581
273,2,0.9560403823852539,0.9889490604400635,0.9803668856620789,0.00858217477798462
10242,2,0.9668221473693848,0.9916708469390869,0.9674650430679321,0.024205803871154785
347,2,0.9619404673576355,0.9904394745826721,0.9833706021308899,0.0070688724517822266
10240,2,0.975141167640686,0.9937658309936523,0.9881895780563354,0.0055762529373168945
267,2,0.9364620447158813,0.9839873313903809,0.9769558310508728,0.007031500339508057
10238,2,0.9578737616539001,0.9894123077392578,0.9782335758209229,0.011178731918334961
6793,2,0.9705355167388916,0.9926066398620605,0.9863442182540894,0.006262421607971191
6717,2,0.9553202390670776,0.9887670278549194,0.9849361181259155,0.0038309097290039062
10188,2,0.9298731088638306,0.9823118448257446,0.9805609583854675,0.0017508864402770996
7092,2,0.9507927894592285,0.987621545791626,0.988615870475769,-0.0009943246841430664
10038,2,0.9553844928741455,0.9887831807136536,0.9847491979598999,0.004033982753753662
11641,2,0.9686334133148193,0.9921272993087769,0.9875556826591492,0.0045716166496276855
346,2,0.9312559366226196,0.982663631439209,0.9758785367012024,0.006785094738006592
10237,2,0.9718719720840454,0.9929430484771729,0.9889183044433594,0.0040247440338134766
7007,2,0.9819968938827515,0.9954891204833984,0.9912592172622681,0.004229903221130371
11644,2,0.9496722221374512,0.9873379468917847,0.9866126775741577,0.0007252693176269531
461,2,0.9432857632637024,0.9857195019721985,0.9810322523117065,0.004687249660491943
7073,2,0.9674749374389648,0.9918355941772461,0.9851098656654358,0.006725728511810303
7054,2,0.9645448923110962,0.991096556186676,0.9872981905937195,0.003798365592956543
10445,2,0.9786803126335144,0.9946557283401489,0.9838528633117676,0.010802865028381348
10459,2,0.9573835134506226,0.9892885684967041,0.9756060242652893,0.013682544231414795
7026,2,0.9785717129707336,0.9946284294128418,0.9556349515914917,0.0389934778213501
10205,2,0.9837868809700012,0.9959385395050049,0.9948936104774475,0.001044929027557373
6751,2,0.97560715675354,0.9938830137252808,0.9770467281341553,0.01683628559112549
10216,2,0.9819082021713257,0.9954667091369629,0.9871826171875,0.00828409194946289
10374,2,0.9522964954376221,0.9880023002624512,0.9908810257911682,-0.002878725528717041
10214,2,0.9777778387069702,0.9944289326667786,0.9798734784126282,0.01455545425415039
10370,2,0.9534907937049866,0.9883042573928833,0.9775441288948059,0.010760128498077393
10001,2,0.9647530317306519,0.9911491274833679,0.9858621954917908,0.0052869319915771484
10212,2,0.9446465969085693,0.9860648512840271,0.9806745648384094,0.005390286445617676
7031,2,0.9643963575363159,0.9910591840744019,0.992142379283905,-0.0010831952095031738
7032,2,0.9694997072219849,0.9923456311225891,0.988001823425293,0.004343807697296143
7035,2,0.9683986902236938,0.9920682907104492,0.984653115272522,0.007415175437927246
10210,2,0.9547926187515259,0.9886336922645569,0.9867557883262634,0.001877903938293457
10023,2,0.9408934116363525,0.9851124882698059,0.9885786771774292,-0.003466188907623291
7052,2,0.964675784111023,0.9911295771598816,0.9818702936172485,0.009259283542633057
