paper_id,hdbscan_label
704.1315,1692
704.1318,-1
704.1346,2404
704.1364,1523
704.1366,-1
704.1374,1400
704.1376,1615
704.1387,1565
704.1408,-1
704.143,1565
704.1436,1565
704.1442,856
704.145,1565
704.1458,1428
704.1462,-1
704.1481,43
704.1483,-1
704.1496,1565
704.1498,-1
704.1502,630
704.1507,1429
704.1509,1565
704.1511,-1
704.1521,570
704.1522,199
704.1558,1565
704.1559,1565
704.1562,854
704.1566,1008
704.157,2217
704.1573,529
704.1576,-1
704.1578,1142
704.1579,22
704.1583,1565
704.1592,1751
704.16,-1
704.1603,1565
704.1606,1009
704.1609,897
704.1612,1604
704.1614,1526
704.1617,1067
704.1619,423
704.163,-1
704.1636,-1
704.1641,-1
704.1648,1585
704.1652,-1
704.1653,18
704.1654,-1
704.166,-1
704.1668,-1
704.1671,765
704.1681,1956
704.1684,1770
704.1703,1565
704.1706,-1
704.1713,782
704.1715,1565
704.1723,1041
704.1729,345
704.1741,-1
704.1743,-1
704.1744,14
704.1749,1672
704.175,1208
704.1762,-1
704.1766,-1
704.1767,1565
704.177,64
704.1773,816
704.181,1557
704.1812,1565
704.1813,-1
704.1817,1189
704.1825,-1
704.1832,-1
704.1841,-1
704.1848,550
704.1858,22
704.186,856
704.1907,-1
704.191,-1
704.1927,1565
704.1958,1522
704.1963,-1
704.1998,601
704.2002,497
704.2032,103
704.2051,1565
704.2053,-1
704.2057,-1
704.2058,1738
704.2064,122
704.2068,-1
704.207,611
704.2073,-1
704.2074,533
704.2075,-1
704.2079,1385
704.2085,1565
704.2086,1565
704.2095,23
704.21,765
704.212,507
704.2131,1106
704.2134,-1
704.2135,2036
704.214,-1
704.2141,219
704.2143,612
704.2145,0
704.2157,391
704.2159,1220
704.2166,968
704.2174,1995
704.2175,983
704.2177,468
704.2179,-1
704.2187,-1
704.2189,-1
704.2192,2247
704.2196,1492
704.2204,1213
704.2209,2190
704.221,-1
704.2217,1565
704.2228,1565
704.2235,896
704.2239,1565
704.224,1565
704.2249,595
704.2253,-1
704.2255,-1
704.227,-1
704.2279,-1
704.2285,1565
704.2286,-1
704.2293,-1
704.2294,-1
704.2301,1067
704.2305,1955
704.2309,1241
704.2332,1565
704.2335,-1
704.2342,1538
704.2345,709
704.235,-1
704.2387,-1
704.239,-1
704.2407,-1
704.2408,1269
704.2413,-1
704.2416,-1
704.2417,-1
704.242,1565
704.2421,131
704.2422,1565
704.2426,1565
704.243,851
704.2436,-1
704.2444,222
704.2445,-1
704.2455,-1
704.2459,1052
704.2461,1565
704.2469,56
704.2486,-1
704.2494,448
704.2525,1472
704.2532,-1
704.2535,-1
704.2543,27
704.2545,-1
704.2549,1565
704.2557,1387
704.2568,1008
704.2573,1565
704.2577,423
704.2579,2327
704.2589,1911
704.2603,1687
704.2605,985
704.2606,455
704.2607,214
704.2608,-1
704.2612,1565
704.262,1241
704.2637,278
704.264,-1
704.2641,1625
704.2655,968
704.2657,1008
704.2671,1565
704.2689,427
704.269,363
704.2693,552
704.2698,401
704.2704,1616
704.2705,1565
704.2709,1823
704.271,458
704.2718,-1
704.2719,-1
704.2722,1923
704.2729,239
704.2737,-1
704.2738,-1
704.274,17
704.2753,601
704.2758,1565
704.2783,739
704.2818,1565
704.282,2250
704.2821,-1
704.2828,3
704.2836,1606
704.2837,2223
704.2839,-1
704.2846,-1
704.2882,-1
704.2887,910
704.2888,1038
704.2907,-1
704.2923,-1
704.293,1054
704.2938,-1
704.2942,-1
704.2943,2143
704.2949,390
704.2958,353
704.2962,-1
704.297,-1
704.2971,1429
704.2982,1182
