obs. type,parameter,value,upper error,lower error,journal,lead author,month,year,num cites,reference,arXiv,Notes
lensing,H_0,59,17,0,ApJ,Fassnacht,12,1999,55,http://adsabs.harvard.edu/abs/1999ApJ...527..498F,astro-ph/9907257,
lensing,H_0,63,15,0,ApJ,Fassnacht,12,2002,55,http://adsabs.harvard.edu/abs/2002ApJ...581..823F,astro-ph/0208420,
pec vels,Omega_M,0.3,0.17,0,ApJ,Feldman,10,2003,50,http://adsabs.harvard.edu/abs/2003ApJ...596L.131F,astro-ph/0305078,
pec vels,Sigma_8,1.13,0.22,-0.23,ApJ,Feldman,10,2003,50,http://adsabs.harvard.edu/abs/2003ApJ...596L.131F,astro-ph/0305078,
other,H_0,84,4,0,ApJ,Ford,2,1996,32,http://adsabs.harvard.edu/abs/1996ApJ...458..455F,,More than one value actually given in abstract
ISW,Omega_Lambda,0.775,0.085,0,ApJ,Fosalba,11,2003,151,http://adsabs.harvard.edu/abs/2003ApJ...597L..89F,astro-ph/0307249,Range data in abstract – can’t see listed value
other,H_0,68,8,0,ApJ,Fouque,1,1990,119,http://adsabs.harvard.edu/abs/1990ApJ...349....1F,,
BAO,w_0,-1.05,0.13,0,ApJ,Freedman,10,2009,14,http://adsabs.harvard.edu/abs/2009ApJ...704.1036F,0907.4524,
BAO,Omega_M,0.27,0.02,0,ApJ,Freedman,10,2009,14,http://adsabs.harvard.edu/abs/2009ApJ...704.1036F,0907.4524,
pec vels,Omega_M,0,0,0,ApJ,Freudling,8,1991,27,http://adsabs.harvard.edu/abs/1991ApJ...377..349F,,Why zero here?
pec vels,Omega_M*H_0,0.82,0.12,0,ApJ,Freudling,9,1999,53,http://adsabs.harvard.edu/abs/1999ApJ...523....1F,astro-ph/9904118,Incorrect parameter here
CMB,H_0,90,10,0,ApJ,Fukugita,7,1990,20,http://adsabs.harvard.edu/abs/1990ApJ...358...28F,,Value not in abstract – check article
SN,H_0,87.5,12.5,0,ApJ,Fukugita,2,1991,16,http://adsabs.harvard.edu/abs/1991ApJ...368L..11F,,Range data in abstract
Clusters,H_0,47,14,0,ApJ,Furuzawa,9,1998,10,http://adsabs.harvard.edu/abs/1998ApJ...504...35F,,
SN,w_0,0,0,0,ApJ,Garnavich,12,1998,511,http://adsabs.harvard.edu/abs/1998ApJ...509...74G,astro-ph/9806396,"I think this is it, but can’t find values"
SN,Omega_K,-0.06,0.26,0,ApJ,Garnavich,12,1998,511,http://adsabs.harvard.edu/abs/1998ApJ...509...74G,astro-ph/9806396,"I think this is it, but can’t find values"
SN,Omega_K,-0.06,0.26,0,ApJ,Garnavich,12,1998,522,,,Umm…?
other,H_0,90,17,0,ApJ,Gavazzi,11,1991,16,http://adsabs.harvard.edu/abs/1991ApJ...382...19G,,
other,Omega_Lambda,0.71,0.05,0,ApJ,Ghirlanda,9,2004,102,http://adsabs.harvard.edu/abs/2004ApJ...613L..13G,astro-ph/0408350,
other,H_0,68,5.4,0,ApJ,Gibson,2,2000,131,http://adsabs.harvard.edu/abs/2000ApJ...529..723G,astro-ph/9908149,
other,H_0,69,5,0,ApJ,Giovanelli,3,1997,112,http://adsabs.harvard.edu/abs/1997ApJ...477L...1G,astro-ph/9612072,
Clusters,Sigma_8,1.01,0.067,0,ApJ,Girardi,10,1998,110,http://adsabs.harvard.edu/abs/1998ApJ...506...45G,astro-ph/9804188,"I think this is right, but values are parameterised"
CMB,Omega_M,0,0,0,ApJ,Gouda,5,1991,8,http://adsabs.harvard.edu/abs/1991ApJ...372L..49G,,
pec vels,Beta,0.45,0.05,0,ApJ,Gramman,1,1998,6,,,No results in ADS?
Clusters,Omega_M,0.25,0.15,0,ApJ,Grego,5,2001,117,http://adsabs.harvard.edu/abs/2001ApJ...552....2G,astro-ph/0012067,
other,Omega_M,0.1,0.25,0,ApJ,Guerra,12,2000,59,http://adsabs.harvard.edu/abs/2000ApJ...544..659G,astro-ph/9807249,
lensing,Sigma_8,0.97,0.35,0,ApJ,Hamana,11,2003,88,http://adsabs.harvard.edu/abs/2003ApJ...597...98H,astro-ph/0210450,More than one value in abstract – and more than one parameter given?
z distort,Omega_M,0,0,-0.25,ApJ,Hamilton,4,1993,51,http://adsabs.harvard.edu/abs/1993ApJ...406L..47H,,Wrong value listed?
Clusters,Omega_baryon,0.1,0.05,0,ApJ,Hanami,9,1993,14,http://adsabs.harvard.edu/abs/1993ApJ...415...42H,,
Clusters,Omega_M,0.55,0.17,0,ApJ,Henry,11,1997,173,http://adsabs.harvard.edu/abs/1997ApJ...489L...1H,,
Clusters,Sigma_8,0.66,0.34,-0.17,ApJ,Henry,11,1997,173,http://adsabs.harvard.edu/abs/1997ApJ...489L...1H,,
Clusters,Omega_M,0.44,0.12,0,ApJ,Henry,5,2000,196,http://adsabs.harvard.edu/abs/2000ApJ...534..565H,astro-ph/0002365,More than one value actually given in abstract
Clusters,Sigma_8,0.77,0.15,0,ApJ,Henry,5,2000,196,http://adsabs.harvard.edu/abs/2000ApJ...534..565H,astro-ph/0002365,More than one value actually given in abstract
