paper_id,kmeans_K50,hdbmerge_K50
706.0587,3,14
706.0619,3,14
706.0657,3,14
706.0661,3,14
706.0669,34,14
706.0672,22,14
706.0678,3,14
706.0696,25,14
706.0713,18,14
706.0732,3,14
706.0755,3,14
706.0763,3,14
706.0783,37,14
706.0784,34,14
706.0795,20,14
706.0797,3,14
706.0802,34,14
706.0803,3,14
706.0808,3,14
706.081,37,14
706.0811,2,14
706.083,3,14
706.0831,3,14
706.0832,1,14
706.0836,3,14
706.0849,34,14
706.0856,3,14
706.0857,8,14
706.0867,3,14
706.0875,3,14
706.0877,3,14
706.088,18,14
706.0887,3,14
706.0893,37,14
706.0896,3,14
706.0899,34,14
706.09,3,14
706.0914,6,14
706.0927,3,14
706.0945,45,14
706.095,3,14
706.0965,26,14
706.0987,3,14
706.0989,47,14
706.0991,3,14
706.104,3,14
706.105,3,14
706.1057,12,14
706.1067,26,14
706.1071,22,14
706.1074,3,14
706.1076,41,14
706.1083,3,14
706.1094,3,14
706.1105,34,14
706.1106,3,14
706.1121,26,14
706.1128,3,14
706.1129,30,14
706.114,2,14
706.1145,13,14
706.1149,45,14
706.1168,46,14
706.1182,3,14
706.1191,3,14
706.1197,8,14
706.1202,3,14
706.1212,3,14
706.1213,3,14
706.1216,3,14
706.1221,3,14
706.1223,12,14
706.1235,3,14
706.1241,47,14
706.1256,3,14
706.1265,3,14
706.127,18,14
706.1273,46,14
706.1275,18,30
706.1285,3,14
706.1292,3,14
706.1302,3,14
706.1314,48,7
706.132,13,14
706.1321,34,14
706.1323,18,14
706.1324,22,14
706.1332,34,14
706.1334,3,14
706.134,8,14
706.1345,39,14
706.1346,3,14
706.135,48,14
706.1353,2,14
706.1372,31,14
706.1375,48,14
706.1378,3,14
706.1412,3,14
706.1421,3,14
706.143,34,14
706.1432,3,14
706.1433,3,14
706.1441,3,14
706.1464,46,14
706.1491,3,14
706.1495,16,14
706.1501,16,14
706.1505,3,14
706.151,3,14
706.1513,3,14
706.1518,2,14
706.1535,6,14
706.1537,18,14
706.1538,3,14
706.1544,3,14
706.1551,3,14
706.1552,3,14
706.1564,39,14
706.1565,48,14
706.1569,16,14
706.1578,3,14
706.158,3,14
706.1583,3,14
706.1586,46,14
706.1593,0,14
706.1595,9,14
706.1626,46,14
706.1636,3,14
706.1639,3,14
706.1643,10,14
706.1646,3,14
706.1656,3,14
706.1658,3,14
706.1663,12,14
706.1676,3,14
706.1682,36,14
706.1684,3,14
706.1703,3,14
706.171,34,14
706.1713,3,14
706.1714,3,14
706.1715,3,14
706.1718,3,14
706.1719,16,14
706.1724,3,14
706.1731,43,14
706.1739,3,14
706.1762,30,14
706.1767,3,14
706.1772,34,14
706.1775,41,14
706.1777,3,14
706.1779,8,14
706.1787,3,14
706.1801,4,14
706.1804,3,14
706.1809,3,14
706.1811,3,14
706.1819,3,14
706.1828,10,14
706.1856,3,14
706.1857,3,14
706.1869,3,14
706.1873,3,14
706.1885,10,14
706.19,3,14
706.1909,3,14
706.1912,34,14
706.1913,3,14
706.1921,16,14
706.1931,12,14
706.1939,34,14
706.1944,46,14
706.1945,34,14
706.1959,10,14
706.1963,8,14
706.1965,18,14
706.1967,43,14
706.1975,34,14
706.1976,3,14
706.1982,3,14
706.1987,3,14
706.1988,8,14
706.199,16,14
706.1995,3,14
706.1997,46,14
706.1999,3,14
706.2006,29,14
706.2008,3,14
706.2011,3,14
706.2014,3,14
706.2016,45,14
706.2022,18,14
706.2029,3,14
706.2039,3,14
706.2055,2,14
706.2059,3,14
706.2075,12,14
706.2086,3,14
706.2096,3,14
706.21,3,14
706.2101,7,14
706.2102,3,14
706.2105,3,14
706.212,6,2
706.2128,3,14
706.2137,3,14
706.2139,22,2
706.2145,3,14
706.215,3,14
706.2164,46,14
706.217,34,14
706.2171,3,14
706.2174,3,14
706.2181,3,14
706.2186,18,14
706.2189,30,14
706.2206,3,14
706.2225,5,14
706.2227,47,14
706.2234,46,14
706.2235,3,14
706.2243,3,14
706.2245,3,14
706.2256,3,14
706.2275,34,14
706.2278,3,14
706.2283,3,14
706.2288,3,14
706.2294,3,14
706.2299,34,14
706.2301,3,14
706.2323,34,14
706.2325,46,14
706.2326,34,14
706.2337,22,14
706.2338,18,14
706.2344,3,14
706.2346,18,14
706.2351,22,43
706.236,3,14
706.2361,18,14
706.2374,11,14
706.2376,18,14
706.2378,18,14
706.2382,3,14
706.2386,11,14
706.2395,18,14
706.2435,3,14
706.2443,3,14
706.2473,3,14
706.2527,3,14
706.2541,3,14
706.2547,3,14
706.2548,47,14
706.2551,46,14
706.2558,3,14
706.2559,2,14
706.2564,3,14
706.2566,34,14
706.2567,45,14
706.2572,46,14
706.2574,3,14
706.2586,3,14
706.259,3,14
706.2593,3,14
706.2599,46,14
706.2607,25,14
706.2613,3,14
706.2614,3,14
706.2615,12,14
706.2622,33,14
706.2624,36,14
706.2627,3,14
706.2629,30,14
706.264,3,14
706.2643,16,14
706.2652,18,14
706.2653,3,14
706.2654,3,14
706.2663,14,14
706.2669,3,14
706.2683,3,14
706.2687,3,14
706.269,26,14
706.2692,3,14
706.2696,32,14
706.271,3,14
706.2712,3,14
706.2723,3,14
706.2724,37,14
706.2745,1,14
706.2759,46,14
706.2768,29,14
706.2775,40,14
706.278,43,14
706.2784,3,14
706.2788,3,14
706.2801,3,14
706.2823,3,14
706.2834,39,14
706.2864,3,14
706.2879,3,14
706.2886,3,14
706.2889,18,14
706.29,45,14
706.2904,3,14
706.2936,3,14
706.2942,3,14
706.2948,46,14
706.2959,41,14
706.2962,3,14
706.2971,3,14
706.2976,3,14
706.2992,37,14
706.2993,18,14
706.2994,4,14
706.3,3,14
706.3001,3,14
706.3014,28,14
706.3019,3,14
706.303,3,14
706.3032,3,14
706.3035,3,14
706.3041,10,14
706.3043,43,14
706.3045,18,14
706.3046,3,14
706.3047,18,14
706.3052,3,14
706.3053,3,14
706.3062,46,14
706.3084,3,14
706.3089,3,14
706.3097,31,14
706.3098,28,14
706.311,18,14
706.3123,1,14
706.3154,2,14
706.3174,34,14
706.318,3,14
706.3182,3,14
706.3187,44,14
706.3191,2,14
706.3194,3,14
706.3196,3,14
706.32,3,14
706.3206,18,14
706.3209,3,14
706.3213,3,14
706.3216,3,14
706.322,3,14
706.3222,3,14
706.3233,18,14
706.3236,16,14
